hexID,t.count,t.pos,t.neg,t.neu,i.count,i.pos,i.neg,i.neu,t.norm,i.norm,odds
177,881,468.312001515152,168.116732467532,235.645052597403,2557,1356.50506028694,336.391561111111,692.172621062271,0.340743778714664,0.398949354390232,0.34523424587601
178,226,122.383348015873,36.1938738095238,65.4363051587302,1126,574.957207142857,125.828351190476,325.222628571429,0.38136935489535,0.398871097648651,0.212856446524141
179,2021,1054.56987196137,393.299769344544,550.16004021534,4199,2246.09809695721,474.873566752692,1203.1082043956,0.327199457009811,0.421820559705768,0.469511938677121
180,2512,1299.14015189448,539.029240300641,666.067768374862,3112,1671.12539473304,345.585484307359,902.40616017316,0.302591923405191,0.425944701293601,0.777404350379114
181,2182,1118.45707635004,475.756168256743,576.885319767732,2398,1277.57498720238,267.058678571429,688.438099305556,0.294546703984095,0.421399628286469,0.875453173045618
182,4449,2548.80383881338,607.311377499839,1232.16903287546,9473,5200.10970407078,1034.13947994798,2645.77478531556,0.43638850557733,0.439773062823056,0.490144243845108
183,8057,4584.08563213765,1038.63258378662,2289.81232506829,7179,3732.87776009269,702.994782395382,1976.41519470529,0.440046301148198,0.42204805372577,1.22802993474499
184,19388,10873.224819237,2396.79302186125,5673.87711971855,16670,8830.53303230699,1659.77270041568,4676.10620030675,0.437199907023713,0.430159587995879,1.23132145924337
185,1661,889.917482950383,207.225108483183,546.99780501998,1042,528.287872619048,109.145376587302,330.590865079365,0.411012868432992,0.402248076805898,1.68453134942984
186,67,36.6706380952381,11.6687476190476,18.6586428571429,1,0,0,0,0.373162544420753,0,0
187,30,15.7972083333333,4.56305833333333,9.64293333333333,309,177.163051190476,29.1570543650794,93.7009857142857,0.374471666666667,0.47898380849643,0.0891676239892088
188,13,7.42016666666667,1.8405,3.74016666666667,111,63.9991333333333,13.4156333333333,32.5889666666667,0.429205128205128,0.455707207207207,0.115941674210172
189,6,1.9895,1.936,2.073,28,14.8853333333333,2.5785,7.54056666666667,0.00891666666666665,0.439529761904762,0.133655051952705
190,17,8.729,4.146,4.126,67,35.5018333333333,9.74441666666667,17.7589166666667,0.269588235294118,0.384439054726368,0.245874626193014
191,7,3.754,1.393,1.853,20,8.88658333333333,3.4015,6.70808333333333,0.337285714285714,0.274254166666667,0.422434568966326
192,29,16.061,5.52311111111111,7.41866666666667,32,17.8658333333333,3.903,8.23383333333333,0.363375478927203,0.436338541666667,0.898978497131396
193,19,9.4382,4.9143,4.6485,34,17.2160158730159,5.36670634920635,8.42156349206349,0.2381,0.348509103641457,0.548222078186701
194,28,15.0961666666667,5.87433333333333,7.03458333333333,1,0,0,0,0.32935119047619,0,0
195,7,2.7395,1.4245,1.836,1,0,0,0,0.187857142857143,0,0
196,17,8.6165,2.84,5.5465,13,6.2695,3.295,3.4345,0.339794117647059,0.228807692307692,1.37435202169232
197,1,0.7688,0.0392,0.1924,1,0,0,0,0.7296,0,0
198,1,0,0,0,6,2.388,1.6575,1.9525,0,0.12175,0
199,6,3.69916666666667,0.568666666666667,1.73166666666667,1,0,0,0,0.52175,0,0
200,4,2.3775,0.560166666666667,1.06383333333333,1,0,0,0,0.454333333333333,0,0
201,24,13.5346666666667,3.7675,6.7035,1,0,0,0,0.406965277777778,0,0
202,1786,932.025301487402,346.151581576757,488.862708630259,54,31.3613333333333,6.40883333333333,15.22925,0.328036797262399,0.462083333333333,29.7189310027444
203,929,509.481439285714,119.691644047619,276.819116666667,912,456.715377380952,103.515676190476,257.81134047619,0.419579973345635,0.387280374112364,1.11553379745467
204,1555,838.10383961039,272.486651731602,438.463984632035,1992,1113.82396839827,203.427934704185,564.787228571429,0.363740956835233,0.457026121332371,0.752456279797626
205,1393,745.530972172637,257.783985755838,378.747701127016,1957,1050.26520755911,219.066242057942,556.732286174936,0.350141411641636,0.424731203628598,0.70985020431678
206,1647,897.919334311603,305.611600078516,439.504069472031,4917,2656.89972763348,476.81967665733,1329.32366500934,0.359628253936301,0.443376052669544,0.337957554428066
207,374,205.019083333333,49.3442861111111,112.649463888889,1204,653.541696746032,123.847622142857,335.632262063492,0.41624277332145,0.439945244687022,0.313704671567428
208,5661,3153.50139082352,788.338462343535,1630.39184638578,15480,8447.11757256585,1690.2301469166,4250.84839839036,0.417799492753927,0.436491435765455,0.373322777116932
209,18162,10207.3626611812,2511.29616563872,5135.23916035268,29508,15885.7477228279,3332.6382834218,8014.26639825949,0.423745539893322,0.425413767093876,0.642548455337308
210,15854,8719.64461959201,2312.02480068371,4567.10163942569,8527,4412.6054211533,937.65070641567,2372.91913101795,0.404164237347565,0.407523714640276,1.97607621515204
211,10773,6033.35229612538,1476.59016751495,3114.50225851478,9498,4955.81576687494,995.351237667888,2606.89530507402,0.422979868988252,0.416978788082444,1.21742868983403
212,3799,2174.71425767196,480.612797751323,1083.85998624339,2023,1053.46781031746,203.225300595238,566.360956547619,0.445933524590849,0.420287943510738,2.06433859333264
213,901,479.618964502164,137.695435714286,247.716083549784,1262,662.690525840826,134.640418770119,346.710646201021,0.37949337268355,0.418423222718468,0.723745014905141
214,273,152.017442857143,40.585469047619,75.4035404761905,1245,703.974067424242,131.287871861472,347.784748809524,0.408175728240014,0.459988912098611,0.215941822137507
215,2509,1363.81583975746,364.971855117105,704.335796664447,12042,6574.95305559718,1308.87239609002,3355.3722541181,0.398104417951518,0.437309471807603,0.207425943307149
216,1734,972.647334488877,289.147756393933,462.223194540753,765,405.404332215007,88.3318805916306,222.268626082251,0.394175073872517,0.414473792971734,2.39920310958352
217,576,331.05570952381,66.966219047619,173.99244047619,1,0,0,0,0.458488698743386,0,0
218,104,61.0037833333333,11.2737833333333,31.7198,1,0,0,0,0.478173076923077,0,0
219,1,0,0,0,1,0,0,0,0,0,0
220,17,9.86958333333333,2.05591666666667,5.07241666666667,172,92.4067226495727,21.7109008547009,51.881057051282,0.459627450980392,0.411022219737627,0.10680590167407
221,16,8.3665,3.9435,3.6895,55,30.0128,7.43125,15.5500333333333,0.2764375,0.410573636363636,0.27876439385862
222,4,1.608,1.444,0.947,88,46.0136083333333,14.2315833333333,25.7577666666667,0.041,0.361159375,0.0349461834931804
223,22,10.9742222222222,4.98244444444444,6.04294444444444,94,52.2248738095238,11.5648261904762,25.2133642857143,0.272353535353535,0.432553698074975,0.210134011280673
224,24,12.1465,4.97866666666667,6.87716666666667,83,42.3633166666667,14.9009166666667,23.7321,0.298659722222222,0.330872289156627,0.286722120828594
225,8,4.84633333333333,0.815166666666667,2.33833333333333,44,22.239,5.49408333333333,12.26575,0.503895833333333,0.380566287878788,0.217920470045116
226,8,3.522,2.114,2.36233333333333,422,233.394875,50.2013154761905,125.370702380952,0.176,0.434107960956895,0.0150903056461715
227,11,6.57266666666667,1.4355,2.9915,57,28.6262,8.03845,13.3339333333333,0.467015151515151,0.361188596491228,0.229603184029549
228,46,22.977,9.261,12.7645,57,29.1379333333333,7.796,17.0682,0.298173913043478,0.374419883040936,0.788559701099826
229,35,20.9076666666667,5.728,8.35996666666667,102,57.4728333333333,12.5514166666667,26.97825,0.433704761904762,0.440406045751634,0.363783468711304
230,13,7.35475,2.2745,3.37275,1,0,0,0,0.390788461538461,0,0
231,28,12.7879285714286,7.20992857142857,7.00364285714286,1,0,0,0,0.199214285714286,0,0
232,1765,944.507461747138,337.743201766903,465.792214428465,1593,875.486342773712,188.127249901165,451.437670828956,0.343775784691351,0.431487189499402,1.07883745936545
233,2123,1098.16449301094,422.656793853953,577.275117361586,3874,2037.37355680651,428.701018911924,1059.04980693821,0.318185444727736,0.41524846099499,0.539009888168106
234,2750,1454.05702647908,454.157182810245,775.944892748918,1462,811.055153435453,174.710304370629,412.304471173271,0.363599943152302,0.435256394709182,1.7927967294456
235,4163,2330.05301040947,632.619458450906,1155.58538121294,7306,4027.76543098013,854.559334536297,2016.78779249778,0.407742866192306,0.434328784073889,0.578497693159472
236,1238,687.866580849852,193.396308532695,347.822390345181,3855,2102.03438791209,439.435406795982,1091.56949169719,0.399410559222259,0.431283782390689,0.327238500381098
237,751,418.346777519118,89.9693020327626,227.695558042104,3422,1818.63083778721,318.426317106505,968.962786713287,0.43725362914295,0.438399918375426,0.230033918278948
238,1578,875.616697922502,215.0212267507,445.456749229692,7422,4098.71573436563,743.58131549839,2050.87828637474,0.418628308727378,0.452052602919327,0.213631965393673
239,5670,3155.8820478355,803.236824708625,1652.96654772866,15840,8576.04155788572,1835.17630189537,4506.54833238667,0.414928610780754,0.425559675251916,0.367988194382482
240,1145,626.590445562771,196.835507683983,313.645461544012,1491,765.516878823954,162.947405511156,398.57581542069,0.375331823474924,0.40413780906291,0.818519438167565
241,5671,3134.29380523088,874.098958441558,1593.85742640693,2963,1564.15756356976,313.48244561419,867.347295963677,0.398553138210073,0.422097576090305,2.00382229912804
242,2409,1264.41099974862,420.978270695073,693.7398741857,1319,621.387558333333,150.990929761905,349.61041468254,0.35011736365859,0.356631257446117,2.03481866154511
243,2698,1429.10604305417,466.147500618826,753.837262193362,2011,1041.013047114,230.462327272727,582.600790981241,0.356915694008652,0.403058537961845,1.37280320070539
244,1483,833.126833044733,232.97602507215,407.960530266955,3889,1995.21923303086,422.172671118845,1003.67743398322,0.404686991215498,0.404486130602215,0.417561548752296
245,1560,829.970904401709,284.995523089133,430.030625781441,5423,2918.16678731546,582.445308610834,1483.54853859751,0.349343193149087,0.430706523825305,0.284415170513688
246,2095,1180.16565343594,339.718172794036,568.067575240609,4309,2345.27194063747,451.524883293014,1233.2818862066,0.401168248516423,0.43948643707228,0.503210579970169
247,1188,623.5124288535,207.942497142074,341.536477216738,1,0,0,0,0.349806339824433,0,0
248,1027,578.348413034188,160.42735528083,284.327752777778,7,3.84666666666667,0.708,1.44633333333333,0.406933843966269,0.448380952380952,150.350540650136
249,442,238.924014019314,69.9463259407259,126.1315499001,1,0,0,0,0.382302461716263,0,0
250,116,60.5886476190476,20.8959642857143,34.5223714285714,1,0,0,0,0.342178304597701,0,0
251,31,16.829,3.71408333333333,9.45633333333333,1,0,0,0,0.423061827956989,0,0
252,1,0.411666666666667,0.349,0.24,19,9.916,2.2795,5.8095,0.0626666666666666,0.401921052631579,0.0415153959930079
253,1,0.458,0.083,0.458,5,2.114,0.748,1.139,0.375,0.2732,0.216650898770104
254,5,2.2317,0.4939,2.2747,2,1.222,0.3,0.478,0.34756,0.461,1.82626841243863
255,32,19.1204583333333,3.03604166666667,9.8495,9,4.8855,1.495,2.6205,0.502638020833333,0.376722222222222,3.91371575751373
256,2,0.789,0.756,0.456,6,3.119475,1.525175,1.3525,0.0165,0.265716666666667,0.252927175245835
257,13,6.60133333333333,2.23283333333333,4.16666666666667,100,49.1057305555556,14.0144805555556,27.8873583333333,0.336038461538461,0.3509125,0.134431017696905
258,19,8.0105,2.406,7.584,58,29.5265833333333,8.71270833333333,14.762375,0.294973684210526,0.358859913793104,0.271297898221659
259,71,37.4326333333333,13.4970333333333,20.0795333333333,163,84.1423238095238,24.3638285714286,42.5041476190476,0.337121126760563,0.366739234589541,0.44487282545311
260,50,24.9110833333333,12.72575,12.35725,126,61.7143857142857,16.6916452380952,34.5951404761905,0.243706666666667,0.357323337112623,0.403651159207227
261,59,31.4148218614719,9.65395476190476,17.9322634199134,148,69.7695642857143,18.2234904761905,38.004519047619,0.368828255924866,0.348284282496782,0.450265415630584
